PLANT_INFO_VC:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_Mode:low,PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:high,CTRL_INFO_ModeSetting:high,PLANT_INFO_Mode:high,PLANT_INFO_SimulationTime:high
343,1,0,0,2010,0,0,5734
343,1,1,0,2010,0,0,5735
341,1,1,0,2010,0,0,5736
340,1,1,0,2010,0,0,5737
338,1,1,0,2010,0,0,5738
336,1,1,0,2010,0,0,5739
335,1,1,0,2010,0,0,5740
333,1,1,0,2011,0,0,5741
331,1,1,0,2011,0,0,5742
330,1,1,0,2011,0,0,5743
328,1,1,0,2011,0,0,5744
326,1,1,0,2011,0,0,5745
325,1,1,0,2011,0,0,5746
323,1,1,0,2011,0,0,5747
321,1,1,0,2011,0,0,5748
320,1,1,0,2011,0,0,5749
318,1,1,0,2012,0,0,5750
317,1,1,0,2012,0,0,5751
315,1,1,0,2012,0,0,5752
313,1,1,0,2012,0,0,5753
312,1,1,0,2012,0,0,5754
310,1,1,0,2012,0,0,5755
308,1,1,0,2012,0,0,5756
307,1,1,0,2012,0,0,5757
305,1,1,0,2012,0,0,5758
303,1,1,0,2012,0,0,5759
302,1,1,0,2013,0,0,5760
300,1,1,0,2013,0,0,5761
298,1,1,0,2013,0,0,5762
297,1,1,0,2013,0,0,5763
295,1,1,0,2013,0,0,5764
294,1,1,0,2013,0,0,5765
292,1,1,0,2013,0,0,5766
290,1,1,0,2013,0,0,5767
289,1,1,0,2013,0,0,5768
287,1,1,0,2013,0,0,5769
285,1,1,0,2013,0,0,5770
284,1,1,0,2013,0,0,5771
282,1,1,0,2014,0,0,5772
281,1,1,0,2014,0,0,5773
279,1,1,0,2014,0,0,5774
277,1,1,0,2014,0,0,5775
276,1,1,0,2014,0,0,5776
274,1,1,0,2014,0,0,5777
272,1,1,0,2014,0,0,5778
271,1,1,0,2014,0,0,5779
269,1,1,0,2014,0,0,5780
267,1,1,0,2014,0,0,5781
266,1,1,0,2014,0,0,5782
264,1,1,0,2014,0,0,5783
263,1,1,0,2014,0,0,5784
261,1,1,0,2014,0,0,5785
259,1,1,0,2014,0,0,5786
258,1,1,0,2015,0,0,5787
256,1,1,0,2015,0,0,5788
254,1,1,0,2015,0,0,5789
253,1,1,0,2015,0,0,5790
251,1,1,0,2015,0,0,5791
250,1,1,0,2015,0,0,5792
248,1,1,0,2015,0,0,5793
246,1,1,0,2015,0,0,5794
245,1,1,0,2015,0,0,5795
243,1,1,0,2015,0,0,5796
242,1,1,0,2015,0,0,5797
240,1,1,0,2015,0,0,5798
238,1,1,0,2015,0,0,5799
237,1,1,0,2015,0,0,5800
235,1,1,0,2015,0,0,5801
233,1,1,0,2015,0,0,5802
232,1,1,0,2015,0,0,5803
230,1,1,0,2015,0,0,5804
229,1,1,0,2015,0,0,5805
227,1,1,0,2015,0,0,5806
225,1,1,0,2015,0,0,5807
224,1,1,0,2015,0,0,5808
222,1,1,0,2015,0,0,5809
221,1,1,0,2015,0,0,5810
219,1,1,0,2015,0,0,5811
217,1,1,0,2015,0,0,5812
216,1,1,0,2015,0,0,5813
214,1,1,0,2015,0,0,5814
213,1,1,0,2015,0,0,5815
211,1,1,0,2015,0,0,5816
209,1,1,0,2015,0,0,5817
208,1,1,0,2015,0,0,5818
206,1,1,0,2015,0,0,5819
205,1,1,0,2015,0,0,5820
203,1,1,0,2015,0,0,5821
201,1,1,0,2015,0,0,5822
200,1,1,0,2015,0,0,5823
198,1,1,0,2015,0,0,5824
197,1,1,0,2015,0,0,5825
195,1,1,0,2015,0,0,5826
193,1,1,0,2015,0,0,5827
192,1,1,0,2015,0,0,5828
190,1,1,0,2015,0,0,5829
189,1,1,0,2015,0,0,5830
187,1,1,0,2015,0,0,5831
185,1,1,0,2015,0,0,5832
184,1,1,0,2015,0,0,5833
182,1,1,0,2015,0,0,5834
181,1,1,0,2015,0,0,5835
179,1,1,0,2015,0,0,5836
177,1,1,0,2015,0,0,5837
176,1,1,0,2015,0,0,5838
174,1,1,0,2015,0,0,5839
173,1,1,0,2015,0,0,5840
171,1,1,0,2015,0,0,5841
169,1,1,0,2015,0,0,5842
168,1,1,0,2015,0,0,5843
166,1,1,0,2015,0,0,5844
165,1,1,0,2015,0,0,5845
163,1,1,0,2015,0,0,5846
161,1,1,0,2015,0,0,5847
160,1,1,0,2015,0,0,5848
158,1,1,0,2015,0,0,5849
157,1,1,0,2015,0,0,5850
155,1,1,0,2015,0,0,5851
154,1,1,0,2015,0,0,5852
152,1,1,0,2015,0,0,5853
150,1,1,0,2015,0,0,5854
149,1,1,0,2015,0,0,5855
147,1,1,0,2015,0,0,5856
146,1,1,0,2015,0,0,5857
144,1,1,0,2015,0,0,5858
143,1,1,0,2014,0,0,5859
141,1,1,0,2014,0,0,5860
139,1,1,0,2014,0,0,5861
138,1,1,0,2014,0,0,5862
136,1,1,0,2014,0,0,5863
135,1,1,0,2014,0,0,5864
133,1,1,0,2014,0,0,5865
132,1,1,0,2014,0,0,5866
130,1,1,0,2014,0,0,5867
128,1,1,0,2014,0,0,5868
127,1,1,0,2014,0,0,5869
125,1,1,0,2014,0,0,5870
124,1,1,0,2014,0,0,5871
122,1,1,0,2014,0,0,5872
121,1,1,0,2014,0,0,5873
119,1,1,0,2014,0,0,5874
117,1,1,0,2013,0,0,5875
116,1,1,0,2013,0,0,5876
114,1,1,0,2013,0,0,5877
113,1,1,0,2013,0,0,5878
111,1,1,0,2013,0,0,5879
110,1,1,0,2013,0,0,5880
108,1,1,0,2013,0,0,5881
106,1,1,0,2013,0,0,5882
105,1,1,0,2013,0,0,5883
103,1,1,0,2013,0,0,5884
102,1,1,0,2013,0,0,5885
100,1,1,0,2013,0,0,5886
99,1,1,0,2012,0,0,5887
97,1,1,0,2012,0,0,5888
96,1,1,0,2012,0,0,5889
94,1,1,0,2012,0,0,5890
92,1,1,0,2012,0,0,5891
91,1,1,0,2012,0,0,5892
89,1,1,0,2012,0,0,5893
88,1,1,0,2012,0,0,5894
86,1,1,0,2012,0,0,5895
85,1,1,0,2012,0,0,5896
83,1,1,0,2011,0,0,5897
82,1,1,0,2011,0,0,5898
80,1,1,0,2011,0,0,5899
78,1,1,0,2011,0,0,5900
77,1,1,0,2011,0,0,5901
75,1,1,0,2011,0,0,5902
74,1,1,0,2011,0,0,5903
72,1,1,0,2011,0,0,5904
71,1,1,0,2011,0,0,5905
69,1,1,0,2010,0,0,5906
68,1,1,0,2010,0,0,5907
66,1,1,0,2010,0,0,5908
65,1,1,0,2010,0,0,5909
63,1,1,0,2010,0,0,5910
61,1,1,0,2010,0,0,5911
60,1,1,0,2010,0,0,5912
58,1,1,0,2010,0,0,5913
57,0,1,0,2009,0,0,5914
